provenance,lang,text
synthetic-demo,EN,ALERT: High turbidity reported in Sanaur block — boiling-water advisory issued for affected wards.
synthetic-demo,EN,ADVISORY: Chlorination drive intensified across Samana sub-centres following coliform detection.
synthetic-demo,EN,UPDATE: ORS stock replenished at Rajpura CHC; buffer restored to 82%.
synthetic-demo,EN,NOTICE: Rapid Response Team deployed to Patran for door-to-door ADD surveillance.
synthetic-demo,EN,DIRECTIVE: District Nodal Officer to review Epi-Week 22 IDSP returns by 1800 hrs.
synthetic-demo,EN,INFO: Nabha block water quality within safe limits — routine monitoring continues.
synthetic-demo,PA,ਚੇਤਾਵਨੀ: ਸਨੌਰ ਬਲਾਕ ਵਿੱਚ ਉੱਚ ਗੰਦਲਾਪਣ — ਪ੍ਰਭਾਵਿਤ ਵਾਰਡਾਂ ਲਈ ਪਾਣੀ ਉਬਾਲਣ ਦੀ ਸਲਾਹ ਜਾਰੀ।
synthetic-demo,PA,ਸਲਾਹ: ਕੋਲੀਫਾਰਮ ਮਿਲਣ ਮਗਰੋਂ ਸਮਾਣਾ ਉਪ-ਕੇਂਦਰਾਂ ਵਿੱਚ ਕਲੋਰੀਨੇਸ਼ਨ ਤੇਜ਼ ਕੀਤੀ ਗਈ।
synthetic-demo,PA,ਅਪਡੇਟ: ਰਾਜਪੁਰਾ CHC ਵਿਖੇ ORS ਭੰਡਾਰ ਮੁੜ ਭਰਿਆ ਗਿਆ; ਬਫ਼ਰ 82% ਤੱਕ ਬਹਾਲ।
synthetic-demo,PA,ਸੂਚਨਾ: ਪਾਤੜਾਂ ਵਿੱਚ ਘਰ-ਘਰ ADD ਨਿਗਰਾਨੀ ਲਈ ਰੈਪਿਡ ਰਿਸਪਾਂਸ ਟੀਮ ਤਾਇਨਾਤ।
synthetic-demo,PA,ਹਦਾਇਤ: ਜ਼ਿਲ੍ਹਾ ਨੋਡਲ ਅਫ਼ਸਰ 1800 ਵਜੇ ਤੱਕ ਮਹਾਂਮਾਰੀ ਹਫ਼ਤਾ 22 ਦੇ IDSP ਅੰਕੜੇ ਜਾਂਚਣ।
synthetic-demo,PA,ਜਾਣਕਾਰੀ: ਨਾਭਾ ਬਲਾਕ ਦਾ ਪਾਣੀ ਸੁਰੱਖਿਅਤ ਹੱਦਾਂ ਅੰਦਰ — ਨਿਯਮਤ ਨਿਗਰਾਨੀ ਜਾਰੀ।
