provenance,source,block_id,lat,lon,iso_week,rainfall_mm,heavy_rain_days
real,nasa-power,sanaur,30.34,76.39,2025-W14,0.0,0
real,nasa-power,sanaur,30.34,76.39,2025-W15,5.8,0
real,nasa-power,sanaur,30.34,76.39,2025-W16,4.3,0
real,nasa-power,sanaur,30.34,76.39,2025-W17,0.6,0
real,nasa-power,sanaur,30.34,76.39,2025-W18,15.1,0
real,nasa-power,sanaur,30.34,76.39,2025-W19,20.7,0
real,nasa-power,sanaur,30.34,76.39,2025-W20,2.7,0
real,nasa-power,sanaur,30.34,76.39,2025-W21,24.7,0
real,nasa-power,sanaur,30.34,76.39,2025-W22,16.2,0
real,nasa-power,sanaur,30.34,76.39,2025-W23,13.9,0
real,nasa-power,sanaur,30.34,76.39,2025-W24,1.7,0
real,nasa-power,sanaur,30.34,76.39,2025-W25,45.7,0
real,nasa-power,sanaur,30.34,76.39,2025-W26,101.6,0
real,nasa-power,sanaur,30.34,76.39,2025-W27,76.3,0
real,nasa-power,sanaur,30.34,76.39,2025-W28,40.0,0
real,nasa-power,sanaur,30.34,76.39,2025-W29,25.1,0
real,nasa-power,sanaur,30.34,76.39,2025-W30,58.7,0
real,nasa-power,sanaur,30.34,76.39,2025-W31,96.8,0
real,nasa-power,sanaur,30.34,76.39,2025-W32,53.1,0
real,nasa-power,sanaur,30.34,76.39,2025-W33,62.3,0
real,nasa-power,sanaur,30.34,76.39,2025-W34,38.2,0
real,nasa-power,sanaur,30.34,76.39,2025-W35,134.3,1
real,nasa-power,sanaur,30.34,76.39,2025-W36,149.9,0
real,nasa-power,sanaur,30.34,76.39,2025-W37,15.5,0
real,nasa-power,sanaur,30.34,76.39,2025-W38,27.5,0
real,nasa-power,sanaur,30.34,76.39,2025-W39,0.0,0
real,nasa-power,sanaur,30.34,76.39,2025-W40,0.2,0
